"fylkenummer" "kommunenummer" "knum" "komname" "Totalt_areal_inkl_12nm" "Havflate_12nm" "id" "name"
"29" "07" "0729" 729 "Færder" 855.0808924 755.1275971 1 "Svenskegrensen -> Jæren"
"32" "08" "0815" 815 "Kragerø" 1059.803959 754.3343481 1 "Svenskegrensen -> Jæren"
"33" "08" "0814" 814 "Bamble" 370.8106243 66.44527165 1 "Svenskegrensen -> Jæren"
"34" "08" "0806" 806 "Skien" 783.3855518 4.181665437 1 "Svenskegrensen -> Jæren"
"35" "08" "0805" 805 "Porsgrunn" 199.0414813 34.59408245 1 "Svenskegrensen -> Jæren"
"36" "09" "0926" 926 "Lillesand" 850.7528011 660.3214617 1 "Svenskegrensen -> Jæren"
"37" "09" "0904" 904 "Grimstad" 941.8251994 638.2371314 1 "Svenskegrensen -> Jæren"
"38" "09" "0906" 906 "Arendal" 918.8177286 648.6119997 1 "Svenskegrensen -> Jæren"
"39" "09" "0914" 914 "Tvedestrand" 609.7919274 394.7442613 1 "Svenskegrensen -> Jæren"
"40" "09" "0901" 901 "Risør" 584.7319198 391.7583524 1 "Svenskegrensen -> Jæren"
"41" "10" "1002" 1002 "Mandal" 1095.654184 872.811349 1 "Svenskegrensen -> Jæren"
"42" "10" "1029" 1029 "Lindesnes" 802.3377135 485.8682223 1 "Svenskegrensen -> Jæren"
"43" "10" "1032" 1032 "Lyngdal" 626.6176617 235.270811 1 "Svenskegrensen -> Jæren"
"44" "10" "1003" 1003 "Farsund" 1252.735155 990.1709147 1 "Svenskegrensen -> Jæren"
"45" "10" "1018" 1018 "Søgne" 549.1000092 397.682709 1 "Svenskegrensen -> Jæren"
"46" "10" "1004" 1004 "Flekkefjord" 859.7897118 315.7247669 1 "Svenskegrensen -> Jæren"
"47" "10" "1037" 1037 "Kvinesdal" 971.7378186 8.521265753 1 "Svenskegrensen -> Jæren"
"48" "10" "1001" 1001 "Kristiansand" 776.2602003 499.3711376 1 "Svenskegrensen -> Jæren"
"49" "11" "1111" 1111 "Sokndal" 868.1636448 573.1897137 1 "Svenskegrensen -> Jæren"
"50" "11" "1101" 1101 "Eigersund" 1061.635675 629.157112 1 "Svenskegrensen -> Jæren"
"51" "11" "1119" 1119 "Hå" 1060.458758 802.468483 1 "Svenskegrensen -> Jæren"
"52" "11" "1120" 1120 "Klepp" 546.6757261 433.187856 2 "Ryfylke"
"53" "11" "1124" 1124 "Sola" 565.3374631 496.2911866 2 "Ryfylke"
"54" "11" "1144" 1144 "Kvitsøy" 362.4412368 356.1550285 2 "Ryfylke"
"55" "11" "1102" 1102 "Sandnes" 354.2062791 50.16293802 2 "Ryfylke"
"56" "11" "1122" 1122 "Gjesdal" 626.4959988 8.515393126 2 "Ryfylke"
"57" "11" "1149" 1149 "Karmøy" 1347.71291 1117.755891 3 "Karmøy -> Sotra"
"58" "11" "1127" 1127 "Randaberg" 90.72090124 66.0074138 2 "Ryfylke"
"59" "11" "1103" 1103 "Stavanger" 140.1112188 68.6322898 2 "Ryfylke"
"60" "11" "1129" 1129 "Forsand" 846.3640797 66.30523597 2 "Ryfylke"
"61" "11" "1151" 1151 "Utsira" 859.5709685 853.2500842 3 "Karmøy -> Sotra"
"62" "11" "1145" 1145 "Bokn" 188.6204715 141.4520961 2 "Ryfylke"
"63" "11" "1142" 1142 "Rennesøy" 215.3021677 149.7881054 2 "Ryfylke"
"64" "11" "1130" 1130 "Strand" 332.6055776 114.4613977 2 "Ryfylke"
"65" "11" "1133" 1133 "Hjelmeland" 1195.202576 106.3627705 2 "Ryfylke"
"66" "11" "1146" 1146 "Tysvær" 635.7009671 210.2175249 2 "Ryfylke"
"67" "11" "1134" 1134 "Suldal" 1909.018247 172.3661785 2 "Ryfylke"
"68" "11" "1106" 1106 "Haugesund" 365.6018361 292.9220733 3 "Karmøy -> Sotra"
"69" "11" "1141" 1141 "Finnøy" 388.3073287 283.9151293 2 "Ryfylke"
"70" "11" "1135" 1135 "Sauda" 564.7607437 18.19897971 2 "Ryfylke"
"71" "11" "1160" 1160 "Vindafjord" 765.0393543 144.4528759 3 "Karmøy -> Sotra"
"72" "12" "1216" 1216 "Sveio" 373.9963504 127.8434417 3 "Karmøy -> Sotra"
"73" "12" "1219" 1219 "Bømlo" 1657.340024 1410.765071 3 "Karmøy -> Sotra"
"74" "12" "1244" 1244 "Austevoll" 947.0877377 829.8981232 3 "Karmøy -> Sotra"
"75" "12" "1221" 1221 "Stord" 225.8352936 82.10288014 3 "Karmøy -> Sotra"
"76" "12" "1245" 1245 "Sund" 564.9350737 465.3951173 3 "Karmøy -> Sotra"
"77" "12" "1222" 1222 "Fitjar" 240.604969 98.14389542 3 "Karmøy -> Sotra"
"78" "12" "1224" 1224 "Kvinnherad" 1505.831668 415.085879 3 "Karmøy -> Sotra"
"79" "12" "1246" 1246 "Fjell" 768.9276823 620.7603078 3 "Karmøy -> Sotra"
"80" "12" "1201" 1201 "Bergen" 570.1995911 105.4849028 3 "Karmøy -> Sotra"
"81" "12" "1223" 1223 "Tysnes" 482.4829466 227.3679339 3 "Karmøy -> Sotra"
"82" "12" "1211" 1211 "Etne" 813.6223475 78.34093032 3 "Karmøy -> Sotra"
"83" "12" "1259" 1259 "Øygarden" 985.9432893 919.148288 4 "Sotra -> Stadt"
"84" "12" "1243" 1243 "Os" 245.5334546 105.9583688 3 "Karmøy -> Sotra"
"85" "12" "1241" 1241 "Fusa" 507.0776654 129.2463033 3 "Karmøy -> Sotra"
"86" "12" "1228" 1228 "Odda" 1627.894509 11.99717097 3 "Karmøy -> Sotra"
"87" "12" "1265" 1265 "Fedje" 465.8888989 456.6162525 4 "Sotra -> Stadt"
"88" "12" "1247" 1247 "Askøy" 219.6391485 118.5156823 4 "Sotra -> Stadt"
"89" "12" "1242" 1242 "Samnanger" 290.0844722 21.0179771 3 "Karmøy -> Sotra"
"90" "12" "1238" 1238 "Kvam" 762.0051348 145.0727491 3 "Karmøy -> Sotra"
"91" "12" "1231" 1231 "Ullensvang" 1531.401728 132.8716596 3 "Karmøy -> Sotra"
"92" "12" "1264" 1264 "Austrheim" 161.9491533 104.393437 4 "Sotra -> Stadt"
"93" "12" "1260" 1260 "Radøy" 209.7977221 98.34900146 4 "Sotra -> Stadt"
"94" "12" "1256" 1256 "Meland" 130.5215556 37.93871393 4 "Sotra -> Stadt"
"95" "12" "1251" 1251 "Vaksdal" 756.7912355 41.41567702 4 "Sotra -> Stadt"
"96" "12" "1227" 1227 "Jondal" 330.9853245 83.91339296 3 "Karmøy -> Sotra"
"97" "12" "1232" 1232 "Eidfjord" 1518.580276 27.09038408 3 "Karmøy -> Sotra"
"98" "12" "1263" 1263 "Lindås" 637.0389369 162.042687 4 "Sotra -> Stadt"
"99" "12" "1253" 1253 "Osterøy" 311.6455974 56.5278112 4 "Sotra -> Stadt"
"100" "12" "1233" 1233 "Ulvik" 747.0221804 25.01620255 3 "Karmøy -> Sotra"
"101" "12" "1266" 1266 "Masfjorden" 641.7115291 85.64212657 4 "Sotra -> Stadt"
"102" "12" "1235" 1235 "Voss" 1808.533475 2.729008379 4 "Sotra -> Stadt"
"103" "12" "1234" 1234 "Granvin" 227.3108408 16.0192113 3 "Karmøy -> Sotra"
"104" "12" "1252" 1252 "Modalen" 418.6479363 6.659312497 4 "Sotra -> Stadt"
"105" "14" "1421" 1421 "Aurland" 1516.516575 48.81995311 4 "Sotra -> Stadt"
"106" "14" "1417" 1417 "Vik" 970.5631189 137.2222784 4 "Sotra -> Stadt"
"107" "14" "1416" 1416 "Høyanger" 1117.215544 209.0251517 4 "Sotra -> Stadt"
"108" "14" "1422" 1422 "Lærdal" 1406.310833 63.78581196 4 "Sotra -> Stadt"
"109" "14" "1411" 1411 "Gulen" 983.1503441 385.9427734 4 "Sotra -> Stadt"
"110" "14" "1418" 1418 "Balestrand" 534.5592029 105.4146571 4 "Sotra -> Stadt"
"111" "14" "1420" 1420 "Sogndal" 852.5735801 106.8626367 4 "Sotra -> Stadt"
"112" "14" "1412" 1412 "Solund" 1747.705205 1519.458615 4 "Sotra -> Stadt"
"113" "14" "1413" 1413 "Hyllestad" 384.2061598 125.3011533 4 "Sotra -> Stadt"
"114" "14" "1430" 1430 "Gaular" 588.6883809 6.883231009 4 "Sotra -> Stadt"
"115" "14" "1419" 1419 "Leikanger" 217.5568893 37.44903589 4 "Sotra -> Stadt"
"116" "14" "1424" 1424 "Årdal" 1008.963424 32.3771082 4 "Sotra -> Stadt"
"117" "14" "1426" 1426 "Luster" 2806.028875 99.66430856 4 "Sotra -> Stadt"
"118" "14" "1428" 1428 "Askvoll" 1588.603941 1262.43025 4 "Sotra -> Stadt"
"119" "14" "1429" 1429 "Fjaler" 488.1563815 71.53865419 4 "Sotra -> Stadt"
"120" "14" "1432" 1432 "Førde" 604.4960597 18.53334676 4 "Sotra -> Stadt"
"121" "14" "1401" 1401 "Flora" 2140.216593 1447.185281 4 "Sotra -> Stadt"
"122" "14" "1449" 1449 "Stryn" 1460.129386 78.06863305 4 "Sotra -> Stadt"
"123" "14" "1438" 1438 "Bremanger" 1931.69721 1098.600948 4 "Sotra -> Stadt"
"124" "14" "1433" 1433 "Naustdal" 398.1464312 28.65893143 4 "Sotra -> Stadt"
"125" "14" "1445" 1445 "Gloppen" 1095.283335 64.71387848 4 "Sotra -> Stadt"
"126" "14" "1439" 1439 "Vågsøy" 820.8877962 644.1892052 4 "Sotra -> Stadt"
"127" "14" "1443" 1443 "Eid" 549.6917584 80.45449641 4 "Sotra -> Stadt"
"128" "14" "1441" 1441 "Selje" 1041.307731 815.1905357 4 "Sotra -> Stadt"
"129" "15" "1519" 1519 "Volda" 656.4932671 109.2593826 5 "Stad -> Hustadvika"
"130" "15" "1511" 1511 "Vanylven" 483.5926223 98.374729 5 "Stad -> Hustadvika"
"131" "15" "1514" 1514 "Sande" 458.0518878 364.8451659 5 "Stad -> Hustadvika"
"132" "15" "1516" 1516 "Ulstein" 256.6193604 159.4185075 5 "Stad -> Hustadvika"
"133" "15" "1515" 1515 "Herøy" 1193.288082 1073.763572 5 "Stad -> Hustadvika"
"134" "15" "1532" 1532 "Giske" 907.7717564 867.2287433 5 "Stad -> Hustadvika"
"135" "15" "1520" 1520 "Ørsta" 943.5737474 139.138279 5 "Stad -> Hustadvika"
"136" "15" "1517" 1517 "Hareid" 135.0728039 52.80258069 5 "Stad -> Hustadvika"
"137" "15" "1534" 1534 "Haram" 1063.325832 802.1936015 5 "Stad -> Hustadvika"
"138" "15" "1531" 1531 "Sula" 122.9768401 64.4749267 5 "Stad -> Hustadvika"
"139" "15" "1525" 1525 "Stranda" 944.3724368 78.50341444 5 "Stad -> Hustadvika"
"140" "15" "1546" 1546 "Sandøy" 1007.145171 985.7137032 5 "Stad -> Hustadvika"
"141" "15" "1504" 1504 "Ålesund" 194.5781598 95.88641608 5 "Stad -> Hustadvika"
"142" "15" "1528" 1528 "Sykkylven" 400.5986337 62.80058497 5 "Stad -> Hustadvika"
"143" "15" "1524" 1524 "Norddal" 986.6701771 43.15651477 5 "Stad -> Hustadvika"
"144" "15" "1547" 1547 "Aukra" 461.7591187 402.6819283 5 "Stad -> Hustadvika"
"145" "15" "1545" 1545 "Midsund" 275.1037587 180.4542533 5 "Stad -> Hustadvika"
"146" "15" "1529" 1529 "Skodje" 156.8868977 36.85781839 5 "Stad -> Hustadvika"
"147" "15" "1526" 1526 "Stordal" 273.5511891 26.48209841 5 "Stad -> Hustadvika"
"148" "15" "1539" 1539 "Rauma" 1635.105545 132.9582198 5 "Stad -> Hustadvika"
"149" "15" "1548" 1548 "Fræna" 1123.537617 753.7385211 5 "Stad -> Hustadvika"
"150" "15" "1535" 1535 "Vestnes" 466.4075422 114.7066027 5 "Stad -> Hustadvika"
"151" "15" "1523" 1523 "Ørskog" 154.1366928 21.44183209 5 "Stad -> Hustadvika"
"152" "15" "1543" 1543 "Nesset" 1131.560319 85.48888667 5 "Stad -> Hustadvika"
"153" "15" "1551" 1551 "Eide" 445.1395783 293.0397792 6 "Nordmøre + Sør-Trøndelag"
"154" "15" "1502" 1502 "Molde" 585.0810002 222.447664 5 "Stad -> Hustadvika"
"155" "15" "1563" 1563 "Sunndal" 1799.591061 86.22058664 6 "Nordmøre + Sør-Trøndelag"
"156" "15" "1554" 1554 "Averøy" 718.5878787 542.9088935 6 "Nordmøre + Sør-Trøndelag"
"157" "15" "1557" 1557 "Gjemnes" 470.6056636 88.97445949 6 "Nordmøre + Sør-Trøndelag"
"158" "15" "1560" 1560 "Tingvoll" 504.8050354 167.995332 6 "Nordmøre + Sør-Trøndelag"
"159" "15" "1566" 1566 "Surnadal" 1453.246482 87.19487793 6 "Nordmøre + Sør-Trøndelag"
"160" "15" "1505" 1505 "Kristiansund" 669.4597917 582.0243919 6 "Nordmøre + Sør-Trøndelag"
"161" "15" "1571" 1571 "Halsa" 383.3083884 82.7797689 6 "Nordmøre + Sør-Trøndelag"
"162" "15" "1573" 1573 "Smøla" 2154.4903 1882.580854 6 "Nordmøre + Sør-Trøndelag"
"163" "15" "1576" 1576 "Aure" 1048.31036 406.9303226 6 "Nordmøre + Sør-Trøndelag"
"164" "18" "1811" 1811 "Bindal" 1905.535218 641.2837483 7 "Nord-Trøndelag + Bindal"
"165" "18" "1812" 1812 "Sømna" 790.0974216 594.8391077 8 "Helgeland -> Bodø"
"166" "18" "1813" 1813 "Brønnøy" 2099.156683 1052.809515 8 "Helgeland -> Bodø"
"167" "18" "1815" 1815 "Vega" 2921.376588 2756.590844 8 "Helgeland -> Bodø"
"168" "18" "1818" 1818 "Herøy" 2262.099657 2197.637411 8 "Helgeland -> Bodø"
"169" "18" "1816" 1816 "Vevelstad" 661.1474773 122.0988447 8 "Helgeland -> Bodø"
"170" "18" "1824" 1824 "Vefsn" 2030.300385 100.8914234 8 "Helgeland -> Bodø"
"171" "18" "1835" 1835 "Træna" 1793.812792 1777.298315 8 "Helgeland -> Bodø"
"172" "18" "1820" 1820 "Alstahaug" 585.2205361 397.1046147 8 "Helgeland -> Bodø"
"173" "18" "1836" 1836 "Rødøy" 3103.057128 2391.768309 8 "Helgeland -> Bodø"
"174" "18" "1827" 1827 "Dønna" 759.3091081 567.3688444 8 "Helgeland -> Bodø"
"175" "18" "1832" 1832 "Hemnes" 1653.165655 63.6578086 8 "Helgeland -> Bodø"
"176" "18" "1856" 1856 "Røst" 3371.395126 3361.27567 9 "Vestfjorden + Vesterålen"
"177" "18" "1834" 1834 "Lurøy" 1337.693384 1072.508261 8 "Helgeland -> Bodø"
"178" "18" "1822" 1822 "Leirfjord" 596.1696545 130.9239221 8 "Helgeland -> Bodø"
"179" "18" "1833" 1833 "Rana" 4588.20917 128.0210568 8 "Helgeland -> Bodø"
"180" "18" "1857" 1857 "Værøy" 1824.244943 1805.606622 9 "Vestfjorden + Vesterålen"
"181" "18" "1837" 1837 "Meløy" 2746.283777 1872.455608 8 "Helgeland -> Bodø"
"182" "18" "1828" 1828 "Nesna" 402.8211117 219.6396197 8 "Helgeland -> Bodø"
"183" "18" "1840" 1840 "Saltdal" 2245.948768 29.75933009 8 "Helgeland -> Bodø"
"184" "18" "1874" 1874 "Moskenes" 1592.361178 1473.572737 9 "Vestfjorden + Vesterålen"
"185" "18" "1804" 1804 "Bodø" 4826.69546 3431.421782 9 "Vestfjorden + Vesterålen"
"186" "18" "1839" 1839 "Beiarn" 1239.279701 16.96398694 8 "Helgeland -> Bodø"
"187" "18" "1841" 1841 "c(\"Fauske\", \"Fuossko\")" 1293.965081 96.99544864 8 "Helgeland -> Bodø"
"188" "18" "1859" 1859 "Flakstad" 1172.39812 994.0116752 9 "Vestfjorden + Vesterålen"
"189" "18" "1838" 1838 "Gildeskål" 1502.253204 837.5510572 8 "Helgeland -> Bodø"
"190" "18" "1845" 1845 "Sørfold" 1829.725893 192.322705 9 "Vestfjorden + Vesterålen"
"191" "18" "1860" 1860 "Vestvågøy" 2109.641746 1685.080756 9 "Vestfjorden + Vesterålen"
"192" "18" "1848" 1848 "Steigen" 3484.477675 2475.231549 9 "Vestfjorden + Vesterålen"
"193" "18" "1849" 1849 "c(\"Hamarøy\", \"Hábmer\")" 1562.514447 528.9225273 9 "Vestfjorden + Vesterålen"
"194" "18" "1865" 1865 "Vågan" 2087.475486 1608.301755 9 "Vestfjorden + Vesterålen"
"195" "18" "1850" 1850 "c(\"Tysfjord\", \"Divtasvuodna\")" 1929.019449 465.2612621 9 "Vestfjorden + Vesterålen"
"196" "18" "1867" 1867 "Bø" 1825.744963 1579.045433 9 "Vestfjorden + Vesterålen"
"197" "18" "1851" 1851 "Lødingen" 1043.931094 516.5166935 9 "Vestfjorden + Vesterålen"
"198" "18" "1854" 1854 "Ballangen" 1193.130637 260.9146791 9 "Vestfjorden + Vesterålen"
"199" "18" "1868" 1868 "Øksnes" 1815.174302 1495.658041 9 "Vestfjorden + Vesterålen"
"200" "18" "1866" 1866 "Hadsel" 1184.413105 617.8636024 9 "Vestfjorden + Vesterålen"
"201" "18" "1805" 1805 "Narvik" 2223.616141 200.5690576 9 "Vestfjorden + Vesterålen"
"202" "18" "1871" 1871 "Andøy" 2793.083949 2136.958532 9 "Vestfjorden + Vesterålen"
"203" "18" "1870" 1870 "c(\"Sortland\", \"Suortá\")" 1093.027537 371.1023103 9 "Vestfjorden + Vesterålen"
"204" "18" "1852" 1852 "Tjeldsund" 444.826713 125.4910974 9 "Vestfjorden + Vesterålen"
"205" "18" "1853" 1853 "Evenes" 390.3352448 137.5565233 9 "Vestfjorden + Vesterålen"
"206" "19" "1920" 1920 "c(\"Lavangen\", \"Loabák\")" 324.5644227 22.93030318 10 "Andfjorden - Senja"
"207" "19" "1919" 1919 "Gratangen" 374.6671877 61.92678047 10 "Andfjorden - Senja"
"208" "19" "1923" 1923 "Salangen" 521.5611242 63.59936295 10 "Andfjorden - Senja"
"209" "19" "1913" 1913 "Skånland" 580.7459162 85.75053965 10 "Andfjorden - Senja"
"210" "19" "1925" 1925 "Sørreisa" 391.0319373 28.08671383 10 "Andfjorden - Senja"
"211" "19" "1903" 1903 "c(\"Harstad\", \"Hárstták\")" 1520.380415 1075.169085 10 "Andfjorden - Senja"
"212" "19" "1917" 1917 "Ibestad" 592.7193788 351.6502163 10 "Andfjorden - Senja"
"213" "19" "1926" 1926 "Dyrøy" 469.7496123 181.2083648 10 "Andfjorden - Senja"
"214" "19" "1924" 1924 "Målselv" 3356.539251 30.19762902 10 "Andfjorden - Senja"
"215" "19" "1911" 1911 "Kvæfjord" 701.6211827 189.007727 10 "Andfjorden - Senja"
"216" "19" "1931" 1931 "Lenvik" 1586.547758 693.9699618 10 "Andfjorden - Senja"
"217" "19" "1927" 1927 "Tranøy" 938.4325924 414.5371515 10 "Andfjorden - Senja"
"218" "19" "1933" 1933 "Balsfjord" 1741.712564 244.7606693 11 "Kvaløya - Loppa"
"219" "19" "1939" 1939 "c(\"Storfjord\", \"Omasvuono\", \"Omasvuotna\")" 1605.378047 62.59767447 11 "Kvaløya - Loppa"
"220" "19" "1928" 1928 "Torsken" 1076.107235 832.6831727 10 "Andfjorden - Senja"
"221" "19" "1929" 1929 "Berg" 1130.553961 836.6595009 10 "Andfjorden - Senja"
"222" "19" "1902" 1902 "Tromsø" 5287.925885 2766.720443 11 "Kvaløya - Loppa"
"223" "19" "1940" 1940 "c(\"Gáivuotna\", \"Kaivuono\", \"Kåfjord\")" 1115.396129 124.1574503 11 "Kvaløya - Loppa"
"224" "19" "1938" 1938 "Lyngen" 1299.636265 487.0741668 11 "Kvaløya - Loppa"
"225" "19" "1942" 1942 "c(\"Nordreisa\", \"Raisi\", \"Ráisa\")" 3681.281994 243.7160763 11 "Kvaløya - Loppa"
"226" "19" "1936" 1936 "Karlsøy" 5888.348538 4796.755739 11 "Kvaløya - Loppa"
"227" "19" "1943" 1943 "Kvænangen" 2682.367817 573.0012304 11 "Kvaløya - Loppa"
"228" "19" "1941" 1941 "Skjervøy" 1561.699755 1087.998326 11 "Kvaløya - Loppa"
"229" "20" "2012" 2012 "Alta" 4557.653447 708.1851191 12 "Vest-Finnmark"
"230" "20" "2014" 2014 "Loppa" 2808.583223 2119.706465 12 "Vest-Finnmark"
"231" "20" "2015" 2015 "Hasvik" 2767.912332 2212.346937 12 "Vest-Finnmark"
"232" "20" "2020" 2020 "c(\"Porsanger\", \"Porsanki\", \"Porsáŋgu\")" 5995.958956 1123.382915 12 "Vest-Finnmark"
"233" "20" "2004" 2004 "Hammerfest" 3227.790475 2379.511674 12 "Vest-Finnmark"
"234" "20" "2017" 2017 "Kvalsund" 2143.724658 299.4380092 12 "Vest-Finnmark"
"235" "20" "2025" 2025 "c(\"Tana\", \"Deatnu\")" 4365.966153 314.6202279 13 "Øst-Finnmark"
"236" "20" "2018" 2018 "Måsøy" 3882.603372 2746.77331 12 "Vest-Finnmark"
"237" "20" "2022" 2022 "Lebesby" 5729.229931 2269.813387 12 "Vest-Finnmark"
"238" "20" "2027" 2027 "c(\"Nesseby\", \"Unjárga\")" 1637.385897 200.4975472 13 "Øst-Finnmark"
"239" "20" "2019" 2019 "Nordkapp" 4098.466639 3172.775971 12 "Vest-Finnmark"
"240" "20" "2023" 2023 "Gamvik" 3105.285356 1688.94178 13 "Øst-Finnmark"
"241" "20" "2003" 2003 "Vadsø" 1962.984098 705.136888 13 "Øst-Finnmark"
"242" "20" "2030" 2030 "Sør-Varanger" 5106.983189 1135.686092 13 "Øst-Finnmark"
"243" "20" "2024" 2024 "Berlevåg" 2440.924141 1319.139257 13 "Øst-Finnmark"
"244" "20" "2028" 2028 "Båtsfjord" 2814.18098 1379.457856 13 "Øst-Finnmark"
"245" "20" "2002" 2002 "Vardø" 2487.528598 1886.914429 13 "Øst-Finnmark"
"246" "50" "5011" 5011 "Hemne" 789.3143827 119.4148565 6 "Nordmøre + Sør-Trøndelag"
"247" "50" "5013" 5013 "Hitra" 1397.690863 717.3023563 6 "Nordmøre + Sør-Trøndelag"
"248" "50" "5024" 5024 "Orkdal" 639.9261232 45.61754824 6 "Nordmøre + Sør-Trøndelag"
"249" "50" "5014" 5014 "Frøya" 5291.559273 5050.265992 6 "Nordmøre + Sør-Trøndelag"
"250" "50" "5012" 5012 "Snillfjord" 648.4676238 140.3424791 6 "Nordmøre + Sør-Trøndelag"
"251" "50" "5020" 5020 "Osen" 1751.848545 1364.748112 6 "Nordmøre + Sør-Trøndelag"
"252" "50" "5017" 5017 "Bjugn" 1173.240336 789.4188582 6 "Nordmøre + Sør-Trøndelag"
"253" "50" "5016" 5016 "Agdenes" 462.5300013 145.2469083 6 "Nordmøre + Sør-Trøndelag"
"254" "50" "5028" 5028 "Melhus" 696.5045869 2.09289958 6 "Nordmøre + Sør-Trøndelag"
"255" "50" "5049" 5049 "Flatanger" 1283.63185 824.9170364 7 "Nord-Trøndelag + Bindal"
"256" "50" "5019" 5019 "Roan" 974.7572228 600.043172 6 "Nordmøre + Sør-Trøndelag"
"257" "50" "5018" 5018 "Åfjord" 1411.315596 456.6050592 6 "Nordmøre + Sør-Trøndelag"
"258" "50" "5015" 5015 "Ørland" 335.2602064 262.021498 6 "Nordmøre + Sør-Trøndelag"
"259" "50" "5054" 5054 "Indre Fosen" 1382.128022 330.3026623 6 "Nordmøre + Sør-Trøndelag"
"260" "50" "5029" 5029 "Skaun" 252.810041 28.59722944 6 "Nordmøre + Sør-Trøndelag"
"261" "50" "5050" 5050 "Vikna" 3292.157232 2973.452048 7 "Nord-Trøndelag + Bindal"
"262" "50" "5040" 5040 "Namdalseid" 805.5911177 35.9574308 7 "Nord-Trøndelag + Bindal"
"263" "50" "5001" 5001 "Trondheim" 527.8477306 185.6325397 6 "Nordmøre + Sør-Trøndelag"
"264" "50" "5052" 5052 "Leka" 1704.942104 1594.916124 7 "Nord-Trøndelag + Bindal"
"265" "50" "5005" 5005 "Namsos" 1040.167459 261.551416 7 "Nord-Trøndelag + Bindal"
"266" "50" "5039" 5039 "Verran" 676.2751159 74.60843608 6 "Nordmøre + Sør-Trøndelag"
"267" "50" "5036" 5036 "Frosta" 247.3630103 171.0396701 6 "Nordmøre + Sør-Trøndelag"
"268" "50" "5031" 5031 "Malvik" 232.7110654 64.27293872 6 "Nordmøre + Sør-Trøndelag"
"269" "50" "5051" 5051 "Nærøy" 1553.273585 485.7323526 7 "Nord-Trøndelag + Bindal"
"270" "50" "5048" 5048 "Fosnes" 681.4404538 137.1764106 7 "Nord-Trøndelag + Bindal"
"271" "50" "5004" 5004 "Steinkjer" 1619.601654 55.05220454 6 "Nordmøre + Sør-Trøndelag"
"272" "50" "5053" 5053 "Inderøy" 561.2206367 195.5490015 6 "Nordmøre + Sør-Trøndelag"
"273" "50" "5037" 5037 "Levanger" 836.9765923 191.1672681 6 "Nordmøre + Sør-Trøndelag"
"274" "50" "5035" 5035 "Stjørdal" 1000.622042 62.35150705 6 "Nordmøre + Sør-Trøndelag"
