year,prod_area_id,prod_area_name,number_of_stations_pa,prod_area_name2
2008,8,Helgeland - Bodø,318,8: Helgeland - Bodø
2008,9,Vestfjorden - Vesterålen,311,9: Vestfjorden - Vesterålen
2008,10,Andfjorden - Senja,141,10: Andfjorden - Senja
2008,11,Kvaløya - Loppa,128,11: Kvaløya - Loppa
2008,12,Vest-Finnmark,118,12: Vest-Finnmark
2008,13,Øst-Finnmark,118,13: Øst-Finnmark
2009,1,Svenskegrensen - Jæren,74,1: Svenskegrensen - Jæren
2009,2,Ryfylke,162,2: Ryfylke
2009,3,Karmøy - Sotra,416,3: Karmøy - Sotra
2009,4,Sotra - Stadt,244,4: Sotra - Stadt
2009,5,Stad - Hustadvika,452,5: Stad - Hustadvika
2009,6,Nordmøre - Sør-Trøndelag,320,6: Nordmøre - Sør-Trøndelag
2009,7,Nord-Trøndelag - Bindal,259,7: Nord-Trøndelag - Bindal
2009,8,Helgeland - Bodø,317,8: Helgeland - Bodø
2009,9,Vestfjorden - Vesterålen,310,9: Vestfjorden - Vesterålen
2009,10,Andfjorden - Senja,141,10: Andfjorden - Senja
2009,11,Kvaløya - Loppa,128,11: Kvaløya - Loppa
2009,12,Vest-Finnmark,118,12: Vest-Finnmark
2009,13,Øst-Finnmark,118,13: Øst-Finnmark
2010,1,Svenskegrensen - Jæren,73,1: Svenskegrensen - Jæren
2010,2,Ryfylke,161,2: Ryfylke
2010,3,Karmøy - Sotra,416,3: Karmøy - Sotra
2010,4,Sotra - Stadt,243,4: Sotra - Stadt
2010,5,Stad - Hustadvika,447,5: Stad - Hustadvika
2010,6,Nordmøre - Sør-Trøndelag,315,6: Nordmøre - Sør-Trøndelag
2010,7,Nord-Trøndelag - Bindal,255,7: Nord-Trøndelag - Bindal
2010,8,Helgeland - Bodø,315,8: Helgeland - Bodø
2010,9,Vestfjorden - Vesterålen,308,9: Vestfjorden - Vesterålen
2010,10,Andfjorden - Senja,138,10: Andfjorden - Senja
2010,11,Kvaløya - Loppa,125,11: Kvaløya - Loppa
2010,12,Vest-Finnmark,117,12: Vest-Finnmark
2010,13,Øst-Finnmark,117,13: Øst-Finnmark
2011,1,Svenskegrensen - Jæren,73,1: Svenskegrensen - Jæren
2011,2,Ryfylke,162,2: Ryfylke
2011,3,Karmøy - Sotra,415,3: Karmøy - Sotra
2011,4,Sotra - Stadt,241,4: Sotra - Stadt
2011,5,Stad - Hustadvika,425,5: Stad - Hustadvika
2011,6,Nordmøre - Sør-Trøndelag,307,6: Nordmøre - Sør-Trøndelag
2011,7,Nord-Trøndelag - Bindal,254,7: Nord-Trøndelag - Bindal
2011,8,Helgeland - Bodø,310,8: Helgeland - Bodø
2011,9,Vestfjorden - Vesterålen,304,9: Vestfjorden - Vesterålen
2011,10,Andfjorden - Senja,138,10: Andfjorden - Senja
2011,11,Kvaløya - Loppa,125,11: Kvaløya - Loppa
2011,12,Vest-Finnmark,113,12: Vest-Finnmark
2011,13,Øst-Finnmark,113,13: Øst-Finnmark
2012,1,Svenskegrensen - Jæren,73,1: Svenskegrensen - Jæren
2012,2,Ryfylke,160,2: Ryfylke
2012,3,Karmøy - Sotra,414,3: Karmøy - Sotra
2012,4,Sotra - Stadt,239,4: Sotra - Stadt
2012,5,Stad - Hustadvika,419,5: Stad - Hustadvika
2012,6,Nordmøre - Sør-Trøndelag,304,6: Nordmøre - Sør-Trøndelag
2012,7,Nord-Trøndelag - Bindal,251,7: Nord-Trøndelag - Bindal
2012,8,Helgeland - Bodø,304,8: Helgeland - Bodø
2012,9,Vestfjorden - Vesterålen,298,9: Vestfjorden - Vesterålen
2012,10,Andfjorden - Senja,135,10: Andfjorden - Senja
2012,11,Kvaløya - Loppa,123,11: Kvaløya - Loppa
2012,12,Vest-Finnmark,113,12: Vest-Finnmark
2012,13,Øst-Finnmark,113,13: Øst-Finnmark
2013,1,Svenskegrensen - Jæren,71,1: Svenskegrensen - Jæren
2013,2,Ryfylke,159,2: Ryfylke
2013,3,Karmøy - Sotra,407,3: Karmøy - Sotra
2013,4,Sotra - Stadt,237,4: Sotra - Stadt
2013,5,Stad - Hustadvika,414,5: Stad - Hustadvika
2013,6,Nordmøre - Sør-Trøndelag,302,6: Nordmøre - Sør-Trøndelag
2013,7,Nord-Trøndelag - Bindal,250,7: Nord-Trøndelag - Bindal
2013,8,Helgeland - Bodø,303,8: Helgeland - Bodø
2013,9,Vestfjorden - Vesterålen,297,9: Vestfjorden - Vesterålen
2013,10,Andfjorden - Senja,135,10: Andfjorden - Senja
2013,11,Kvaløya - Loppa,123,11: Kvaløya - Loppa
2013,12,Vest-Finnmark,113,12: Vest-Finnmark
2013,13,Øst-Finnmark,113,13: Øst-Finnmark
2014,1,Svenskegrensen - Jæren,72,1: Svenskegrensen - Jæren
2014,2,Ryfylke,162,2: Ryfylke
2014,3,Karmøy - Sotra,410,3: Karmøy - Sotra
2014,4,Sotra - Stadt,234,4: Sotra - Stadt
2014,5,Stad - Hustadvika,412,5: Stad - Hustadvika
2014,6,Nordmøre - Sør-Trøndelag,301,6: Nordmøre - Sør-Trøndelag
2014,7,Nord-Trøndelag - Bindal,250,7: Nord-Trøndelag - Bindal
2014,8,Helgeland - Bodø,298,8: Helgeland - Bodø
2014,9,Vestfjorden - Vesterålen,292,9: Vestfjorden - Vesterålen
2014,10,Andfjorden - Senja,136,10: Andfjorden - Senja
2014,11,Kvaløya - Loppa,124,11: Kvaløya - Loppa
2014,12,Vest-Finnmark,112,12: Vest-Finnmark
2014,13,Øst-Finnmark,112,13: Øst-Finnmark
2015,1,Svenskegrensen - Jæren,72,1: Svenskegrensen - Jæren
2015,2,Ryfylke,163,2: Ryfylke
2015,3,Karmøy - Sotra,412,3: Karmøy - Sotra
2015,4,Sotra - Stadt,235,4: Sotra - Stadt
2015,5,Stad - Hustadvika,410,5: Stad - Hustadvika
2015,6,Nordmøre - Sør-Trøndelag,299,6: Nordmøre - Sør-Trøndelag
2015,7,Nord-Trøndelag - Bindal,249,7: Nord-Trøndelag - Bindal
2015,8,Helgeland - Bodø,306,8: Helgeland - Bodø
2015,9,Vestfjorden - Vesterålen,300,9: Vestfjorden - Vesterålen
2015,10,Andfjorden - Senja,139,10: Andfjorden - Senja
2015,11,Kvaløya - Loppa,127,11: Kvaløya - Loppa
2015,12,Vest-Finnmark,111,12: Vest-Finnmark
2015,13,Øst-Finnmark,111,13: Øst-Finnmark
2016,1,Svenskegrensen - Jæren,72,1: Svenskegrensen - Jæren
2016,2,Ryfylke,163,2: Ryfylke
2016,3,Karmøy - Sotra,410,3: Karmøy - Sotra
2016,4,Sotra - Stadt,231,4: Sotra - Stadt
2016,5,Stad - Hustadvika,411,5: Stad - Hustadvika
2016,6,Nordmøre - Sør-Trøndelag,301,6: Nordmøre - Sør-Trøndelag
2016,7,Nord-Trøndelag - Bindal,253,7: Nord-Trøndelag - Bindal
2016,8,Helgeland - Bodø,316,8: Helgeland - Bodø
2016,9,Vestfjorden - Vesterålen,310,9: Vestfjorden - Vesterålen
2016,10,Andfjorden - Senja,143,10: Andfjorden - Senja
2016,11,Kvaløya - Loppa,130,11: Kvaløya - Loppa
2016,12,Vest-Finnmark,103,12: Vest-Finnmark
2016,13,Øst-Finnmark,103,13: Øst-Finnmark
2017,1,Svenskegrensen - Jæren,75,1: Svenskegrensen - Jæren
2017,2,Ryfylke,165,2: Ryfylke
2017,3,Karmøy - Sotra,418,3: Karmøy - Sotra
2017,4,Sotra - Stadt,233,4: Sotra - Stadt
2017,5,Stad - Hustadvika,407,5: Stad - Hustadvika
2017,6,Nordmøre - Sør-Trøndelag,299,6: Nordmøre - Sør-Trøndelag
2017,7,Nord-Trøndelag - Bindal,252,7: Nord-Trøndelag - Bindal
2017,8,Helgeland - Bodø,315,8: Helgeland - Bodø
2017,9,Vestfjorden - Vesterålen,309,9: Vestfjorden - Vesterålen
2017,10,Andfjorden - Senja,143,10: Andfjorden - Senja
2017,11,Kvaløya - Loppa,130,11: Kvaløya - Loppa
2017,12,Vest-Finnmark,100,12: Vest-Finnmark
2017,13,Øst-Finnmark,100,13: Øst-Finnmark
2018,1,Svenskegrensen - Jæren,76,1: Svenskegrensen - Jæren
2018,2,Ryfylke,164,2: Ryfylke
2018,3,Karmøy - Sotra,418,3: Karmøy - Sotra
2018,4,Sotra - Stadt,233,4: Sotra - Stadt
2018,5,Stad - Hustadvika,403,5: Stad - Hustadvika
2018,6,Nordmøre - Sør-Trøndelag,298,6: Nordmøre - Sør-Trøndelag
2018,7,Nord-Trøndelag - Bindal,253,7: Nord-Trøndelag - Bindal
2018,8,Helgeland - Bodø,317,8: Helgeland - Bodø
2018,9,Vestfjorden - Vesterålen,311,9: Vestfjorden - Vesterålen
2018,10,Andfjorden - Senja,144,10: Andfjorden - Senja
2018,11,Kvaløya - Loppa,131,11: Kvaløya - Loppa
2018,12,Vest-Finnmark,99,12: Vest-Finnmark
2018,13,Øst-Finnmark,99,13: Øst-Finnmark
2019,1,Svenskegrensen - Jæren,76,1: Svenskegrensen - Jæren
2019,2,Ryfylke,163,2: Ryfylke
2019,3,Karmøy - Sotra,421,3: Karmøy - Sotra
2019,4,Sotra - Stadt,232,4: Sotra - Stadt
2019,5,Stad - Hustadvika,397,5: Stad - Hustadvika
2019,6,Nordmøre - Sør-Trøndelag,297,6: Nordmøre - Sør-Trøndelag
2019,7,Nord-Trøndelag - Bindal,253,7: Nord-Trøndelag - Bindal
2019,8,Helgeland - Bodø,316,8: Helgeland - Bodø
2019,9,Vestfjorden - Vesterålen,310,9: Vestfjorden - Vesterålen
2019,10,Andfjorden - Senja,144,10: Andfjorden - Senja
2019,11,Kvaløya - Loppa,131,11: Kvaløya - Loppa
2019,12,Vest-Finnmark,98,12: Vest-Finnmark
2019,13,Øst-Finnmark,98,13: Øst-Finnmark
2020,1,Svenskegrensen - Jæren,NA,1: Svenskegrensen - Jæren
2020,2,Ryfylke,NA,2: Ryfylke
2020,3,Karmøy - Sotra,NA,3: Karmøy - Sotra
2020,4,Sotra - Stadt,NA,4: Sotra - Stadt
2020,5,Stad - Hustadvika,NA,5: Stad - Hustadvika
2020,6,Nordmøre - Sør-Trøndelag,305,6: Nordmøre - Sør-Trøndelag
2020,7,Nord-Trøndelag - Bindal,266,7: Nord-Trøndelag - Bindal
2020,8,Helgeland - Bodø,315,8: Helgeland - Bodø
2020,9,Vestfjorden - Vesterålen,NA,9: Vestfjorden - Vesterålen
2020,10,Andfjorden - Senja,NA,10: Andfjorden - Senja
2020,11,Kvaløya - Loppa,NA,11: Kvaløya - Loppa
2020,12,Vest-Finnmark,NA,12: Vest-Finnmark
2020,13,Øst-Finnmark,NA,13: Øst-Finnmark
